BoxLength = 38.262000 38.262000 38.262000 
Strict : 32  Not Strict: 32
Nodes 105 and 164 are connected
Nodes 107 and 119 are connected
Nodes 108 and 124 are connected
Nodes 110 and 112 are connected
Nodes 111 and 207 are connected
Nodes 117 and 120 are connected
Nodes 118 and 206 are connected
Nodes 119 and 129 are connected
Nodes 121 and 169 are connected
Nodes 124 and 192 are connected
Nodes 125 and 131 are connected
Nodes 131 and 160 are connected
Nodes 135 and 139 are connected
Nodes 135 and 151 are connected
Nodes 136 and 145 are connected
Nodes 137 and 193 are connected
Nodes 140 and 146 are connected
Nodes 141 and 172 are connected
Nodes 142 and 144 are connected
Nodes 143 and 168 are connected
Nodes 143 and 185 are connected
Nodes 144 and 192 are connected
Nodes 151 and 156 are connected
Nodes 156 and 190 are connected
Nodes 157 and 159 are connected
Nodes 163 and 180 are connected
Nodes 166 and 206 are connected
Nodes 168 and 170 are connected
Nodes 170 and 190 are connected
Nodes 174 and 199 are connected
Nodes 175 and 191 are connected
Nodes 196 and 205 are connected
Strict : 0  Not Strict: 0
