Conf,CNo.,ION,CION,SOL
0, 0, 900, 744, 3015
0, 1, 1, 2, 9
0, 2, 1, 2, 4
0, 3, 7, 1, 55
0, 4, 3, 0, 20
0, 5, 1, 0, 10
0, 6, 8, 2, 51
0, 7, 2, 1, 13
0, 8, 1, 0, 9
0, 9, 1, 0, 5
0, 10, 2, 2, 15
0, 11, 4, 3, 22
0, 12, 1, 0, 5
0, 13, 5, 4, 16
0, 14, 1, 1, 6
0, 15, 1, 1, 7
0, 16, 1, 1, 7
0, 17, 1, 0, 7
0, 18, 9, 3, 49
0, 19, 5, 1, 33
0, 20, 10, 7, 44
0, 21, 1, 0, 10
0, 22, 2, 2, 15
0, 23, 7, 8, 27
0, 24, 1, 1, 8
0, 25, 4, 2, 25
0, 26, 3, 1, 24
0, 27, 2, 1, 12
0, 28, 1, 0, 7
0, 29, 2, 1, 8
0, 30, 4, 3, 21
0, 31, 7, 4, 42
0, 32, 1, 1, 8
0, 33, 2, 0, 5
0, 34, 2, 1, 16
0, 35, 1, 0, 12
0, 36, 2, 0, 14
0, 37, 1, 1, 10
0, 38, 1, 1, 6
0, 39, 1, 0, 8
0, 40, 1, 0, 10
0, 41, 1, 1, 8
0, 42, 2, 1, 5
0, 43, 1, 1, 4
0, 44, 4, 1, 18
0, 45, 3, 1, 14
0, 46, 2, 0, 15
0, 47, 2, 3, 4
0, 48, 1, 0, 4
0, 49, 4, 0, 15
0, 50, 1, 0, 4
0, 51, 3, 0, 22
0, 52, 1, 0, 4
0, 53, 1, 0, 11
0, 54, 2, 0, 5
0, 55, 3, 1, 22
0, 56, 1, 1, 6
0, 57, 1, 1, 9
0, 58, 2, 0, 14
0, 59, 1, 0, 8
0, 60, 1, 1, 4
0, 61, 1, 0, 11
0, 62, 1, 0, 8
0, 63, 1, 0, 12
0, 64, 1, 0, 7
0, 65, 2, 1, 11
0, 66, 6, 5, 18
0, 67, 1, 0, 5
0, 68, 2, 1, 14
0, 69, 1, 1, 1
0, 70, 1, 1, 3
0, 71, 2, 0, 16
0, 72, 1, 0, 9
0, 73, 1, 0, 10
0, 74, 1, 0, 9
0, 75, 1, 1, 6
0, 76, 4, 1, 29
0, 77, 3, 1, 22
0, 78, 1, 0, 11
0, 79, 1, 1, 8
0, 80, 2, 0, 13
0, 81, 1, 1, 9
0, 82, 1, 0, 8
0, 83, 1, 0, 11
0, 84, 1, 0, 6
0, 85, 1, 0, 6
0, 86, 1, 0, 10
0, 87, 1, 1, 9
0, 88, 1, 2, 4
0, 89, 1, 0, 10
0, 90, 1, 0, 4
0, 91, 3, 1, 10
0, 92, 1, 1, 2
0, 93, 1, 1, 6
0, 94, 1, 1, 9
0, 95, 1, 1, 6
0, 96, 2, 0, 12
0, 97, 1, 1, 7
0, 98, 3, 2, 13
0, 99, 1, 0, 9
0, 100, 1, 1, 9
0, 101, 1, 0, 8
0, 102, 1, 0, 8
0, 103, 2, 2, 7
0, 104, 5, 1, 30
0, 105, 1, 0, 10
0, 106, 1, 1, 6
0, 107, 1, 1, 7
0, 108, 1, 0, 10
0, 109, 2, 0, 14
0, 110, 2, 1, 10
0, 111, 1, 0, 10
0, 112, 1, 0, 3
0, 113, 1, 2, 5
0, 114, 3, 1, 23
0, 115, 1, 1, 6
0, 116, 1, 0, 1
0, 117, 1, 0, 10
0, 118, 1, 0, 9
0, 119, 2, 2, 13
0, 120, 2, 0, 13
0, 121, 1, 0, 5
0, 122, 1, 1, 5
0, 123, 3, 5, 16
0, 124, 2, 2, 7
0, 125, 1, 1, 9
0, 126, 1, 0, 9
0, 127, 2, 1, 15
0, 128, 1, 2, 4
0, 129, 1, 0, 6
0, 130, 2, 1, 10
0, 131, 1, 0, 11
0, 132, 1, 0, 12
0, 133, 1, 1, 8
0, 134, 1, 0, 12
0, 135, 3, 1, 23
0, 136, 1, 1, 9
0, 137, 3, 0, 15
0, 138, 1, 0, 9
0, 139, 1, 1, 4
0, 140, 2, 1, 4
0, 141, 1, 0, 8
0, 142, 1, 0, 6
0, 143, 1, 0, 8
0, 144, 2, 1, 15
0, 145, 1, 0, 11
0, 146, 1, 0, 9
0, 147, 1, 0, 8
0, 148, 1, 0, 4
0, 149, 1, 0, 10
0, 150, 2, 0, 13
0, 151, 1, 0, 10
0, 152, 1, 0, 8
0, 153, 2, 2, 7
0, 154, 1, 0, 9
0, 155, 1, 0, 9
0, 156, 1, 1, 2
0, 157, 1, 1, 7
0, 158, 1, 0, 8
0, 159, 1, 0, 9
0, 160, 3, 3, 17
0, 161, 1, 1, 1
0, 162, 2, 1, 17
0, 163, 1, 1, 7
0, 164, 1, 0, 7
0, 165, 1, 1, 10
0, 166, 1, 1, 5
0, 167, 1, 0, 10
0, 168, 1, 0, 6
0, 169, 1, 0, 6
0, 170, 1, 0, 11
0, 171, 3, 0, 20
0, 172, 1, 0, 11
0, 173, 1, 1, 4
0, 174, 1, 0, 9
0, 175, 2, 0, 12
0, 176, 1, 0, 8
0, 177, 1, 1, 3
0, 178, 1, 0, 11
0, 179, 1, 0, 6
0, 180, 1, 1, 6
0, 181, 2, 1, 9
0, 182, 1, 0, 4
0, 183, 1, 0, 8
0, 184, 1, 0, 6
0, 185, 1, 1, 11
0, 186, 1, 1, 5
0, 187, 1, 1, 4
0, 188, 1, 1, 4
0, 189, 1, 0, 6
0, 190, 1, 1, 3
0, 191, 1, 1, 8
0, 192, 1, 0, 9
0, 193, 1, 0, 4
0, 194, 1, 0, 9
0, 195, 1, 0, 7
0, 196, 1, 1, 1
0, 197, 1, 0, 11
0, 198, 1, 0, 10
0, 199, 1, 0, 9
0, 200, 1, 2, 0
0, 201, 1, 0, 9
0, 202, 1, 0, 9
0, 203, 1, 0, 4
0, 204, 1, 1, 7
0, 205, 1, 0, 6
0, 206, 1, 2, 4
0, 207, 1, 0, 8
0, 208, 1, 1, 3
0, 209, 1, 1, 11
0, 210, 1, 0, 9
1, 0, 921, 759, 1532
1, 1, 2, 2, 3
1, 2, 1, 1, 4
1, 3, 1, 2, 1
1, 4, 1, 2, 2
1, 5, 3, 0, 8
1, 6, 2, 0, 6
1, 7, 1, 0, 5
1, 8, 8, 2, 19
1, 9, 2, 1, 4
1, 10, 1, 0, 6
1, 11, 1, 0, 0
1, 12, 2, 2, 2
1, 13, 1, 0, 3
1, 14, 7, 5, 17
1, 15, 1, 1, 2
1, 16, 6, 3, 15
1, 17, 1, 1, 3
1, 18, 3, 3, 8
1, 19, 1, 2, 4
1, 20, 1, 1, 2
1, 21, 2, 2, 3
1, 22, 1, 1, 1
1, 23, 6, 2, 17
1, 24, 3, 0, 10
1, 25, 6, 4, 19
1, 26, 1, 0, 4
1, 27, 2, 2, 4
1, 28, 1, 1, 3
1, 29, 1, 1, 1
1, 30, 6, 2, 14
1, 31, 3, 1, 11
1, 32, 1, 0, 2
1, 33, 3, 1, 5
1, 34, 1, 0, 5
1, 35, 7, 3, 16
1, 36, 1, 0, 8
1, 37, 6, 2, 11
1, 38, 2, 0, 5
1, 39, 1, 0, 4
1, 40, 2, 1, 8
1, 41, 1, 0, 2
1, 42, 1, 0, 3
1, 43, 1, 1, 2
1, 44, 1, 1, 3
1, 45, 2, 0, 11
1, 46, 1, 0, 5
1, 47, 1, 1, 2
1, 48, 2, 1, 4
1, 49, 1, 0, 1
1, 50, 1, 0, 4
1, 51, 1, 1, 0
1, 52, 2, 2, 1
1, 53, 1, 0, 2
1, 54, 1, 0, 2
1, 55, 3, 0, 12
1, 56, 1, 0, 5
1, 57, 2, 1, 5
1, 58, 3, 1, 11
1, 59, 1, 1, 2
1, 60, 1, 0, 5
1, 61, 2, 0, 6
1, 62, 1, 0, 4
1, 63, 2, 1, 7
1, 64, 2, 2, 0
1, 65, 1, 0, 2
1, 66, 2, 0, 4
1, 67, 1, 0, 6
1, 68, 1, 0, 3
1, 69, 2, 1, 2
1, 70, 2, 1, 8
1, 71, 1, 1, 0
1, 72, 1, 1, 1
1, 73, 1, 0, 4
1, 74, 2, 0, 6
1, 75, 2, 0, 4
1, 76, 4, 1, 13
1, 77, 1, 0, 4
1, 78, 1, 1, 5
1, 79, 1, 0, 2
1, 80, 1, 0, 1
1, 81, 1, 1, 4
1, 82, 1, 0, 5
1, 83, 1, 0, 4
1, 84, 1, 0, 5
1, 85, 2, 0, 6
1, 86, 1, 1, 4
1, 87, 1, 0, 5
1, 88, 1, 0, 8
1, 89, 5, 3, 4
1, 90, 1, 0, 2
1, 91, 1, 0, 3
1, 92, 1, 0, 2
1, 93, 1, 1, 5
1, 94, 1, 0, 5
1, 95, 1, 0, 3
1, 96, 2, 1, 2
1, 97, 1, 1, 2
1, 98, 1, 1, 3
1, 99, 1, 0, 2
1, 100, 1, 1, 1
