Conf,CNo.,ION,CION,SOL
0, 0, 1, 0, 9
0, 1, 6, 2, 38
0, 2, 3, 1, 22
0, 3, 1, 1, 7
0, 4, 1, 0, 10
0, 5, 1, 0, 11
0, 6, 1, 0, 9
0, 7, 3, 2, 22
0, 8, 1, 0, 8
0, 9, 1, 0, 11
0, 10, 1, 0, 9
0, 11, 2, 1, 15
0, 12, 1, 0, 10
0, 13, 2, 1, 17
0, 14, 4, 1, 31
0, 15, 3, 1, 24
0, 16, 1, 0, 8
0, 17, 3, 2, 20
0, 18, 1, 0, 7
0, 19, 1, 0, 11
0, 20, 1, 0, 10
0, 21, 1, 0, 7
0, 22, 1, 1, 9
0, 23, 1, 0, 10
0, 24, 1, 0, 10
0, 25, 1, 1, 7
0, 26, 5, 2, 33
0, 27, 1, 0, 12
0, 28, 1, 0, 12
0, 29, 1, 0, 12
0, 30, 1, 0, 10
0, 31, 2, 0, 17
0, 32, 3, 1, 22
0, 33, 1, 1, 7
0, 34, 2, 0, 18
0, 35, 1, 0, 7
0, 36, 1, 0, 10
0, 37, 1, 0, 12
0, 38, 1, 0, 10
0, 39, 1, 0, 9
0, 40, 1, 0, 9
0, 41, 1, 0, 9
0, 42, 2, 0, 18
0, 43, 1, 0, 11
0, 44, 1, 0, 11
0, 45, 1, 0, 11
0, 46, 2, 0, 18
0, 47, 1, 0, 11
0, 48, 3, 0, 22
0, 49, 1, 1, 8
0, 50, 1, 0, 9
0, 51, 1, 0, 11
0, 52, 1, 0, 10
0, 53, 1, 0, 9
0, 54, 2, 1, 14
0, 55, 1, 0, 8
0, 56, 4, 1, 28
0, 57, 1, 0, 9
0, 58, 1, 0, 9
0, 59, 1, 0, 7
0, 60, 1, 0, 12
0, 61, 1, 0, 10
0, 62, 1, 0, 9
0, 63, 1, 0, 10
0, 64, 1, 2, 8
0, 65, 2, 0, 19
0, 66, 1, 0, 7
0, 67, 2, 2, 16
0, 68, 2, 0, 13
0, 69, 1, 0, 12
0, 70, 1, 0, 10
0, 71, 1, 0, 7
0, 72, 2, 0, 17
0, 73, 1, 0, 13
0, 74, 1, 0, 9
0, 75, 1, 0, 12
0, 76, 1, 1, 9
0, 77, 1, 0, 7
0, 78, 1, 1, 9
0, 79, 1, 0, 12
0, 80, 1, 0, 11
0, 81, 2, 1, 16
0, 82, 1, 0, 12
0, 83, 1, 0, 9
0, 84, 2, 0, 16
0, 85, 1, 0, 11
0, 86, 1, 0, 12
