Conf,CNo.,ION,CION,SOL,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13
0, 0, 12, 0, 0, 0, 2, 0, 3, 0, 2, 0, 0, 0, 0, 0
0, 1, 12, 0, 0, 0, 6, 0, 1, 0, 0, 0, 0, 0, 0, 0
0, 2, 12, 0, 0, 0, 6, 0, 1, 0, 0, 0, 0, 0, 0, 0
0, 3, 108, 0, 0, 0, 108, 0, 1, 0, 0, 0, 0, 0, 0, 0
0, 4, 108, 0, 0, 0, 108, 0, 1, 0, 0, 0, 0, 0, 0, 0
0, 5, 108, 0, 0, 0, 108, 0, 1, 0, 0, 0, 0, 0, 0, 0
0, 6, 12, 0, 0, 0, 6, 0, 1, 0, 0, 0, 0, 0, 0, 0
0, 7, 12, 0, 0, 0, 6, 0, 1, 0, 0, 0, 0, 0, 0, 0
0, 8, 12, 0, 0, 0, 1, 0, 3, 0, 3, 0, 0, 0, 0, 0
0, 9, 12, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0
0, 10, 12, 0, 0, 0, 6, 0, 1, 0, 0, 0, 0, 0, 0, 0
0, 11, 12, 0, 0, 0, 6, 0, 1, 0, 0, 0, 0, 0, 0, 0
1, 0, 12, 0, 0, 0, 1, 0, 2, 0, 2, 0, 0, 0, 1, 0
1, 1, 12, 0, 0, 0, 6, 0, 1, 0, 0, 0, 0, 0, 0, 0
1, 2, 12, 0, 0, 0, 6, 0, 1, 0, 0, 0, 0, 0, 0, 0
1, 3, 108, 0, 0, 0, 108, 0, 1, 0, 0, 0, 0, 0, 0, 0
1, 4, 108, 0, 0, 0, 108, 0, 1, 0, 0, 0, 0, 0, 0, 0
1, 5, 108, 0, 0, 0, 108, 0, 1, 0, 0, 0, 0, 0, 0, 0
1, 6, 12, 0, 0, 0, 6, 0, 1, 0, 0, 0, 0, 0, 0, 0
1, 7, 12, 0, 0, 0, 6, 0, 1, 0, 0, 0, 0, 0, 0, 0
1, 8, 12, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0
