Conf,CNo.,ION,CION,SOL,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13
0, 0, 2048, 0, 0, 0, 0, 0, 2049, 0, 0, 0, 0, 0, 0, 0
1, 0, 2048, 0, 0, 0, 0, 0, 2049, 0, 0, 0, 0, 0, 0, 0
2, 0, 2048, 0, 0, 0, 0, 0, 2049, 0, 0, 0, 0, 0, 0, 0
3, 0, 2048, 0, 0, 0, 0, 0, 2049, 0, 0, 0, 0, 0, 0, 0
4, 0, 2048, 0, 0, 0, 0, 0, 2049, 0, 0, 0, 0, 0, 0, 0
5, 0, 2048, 0, 0, 0, 0, 0, 2049, 0, 0, 0, 0, 0, 0, 0
6, 0, 2048, 0, 0, 0, 0, 0, 2049, 0, 0, 0, 0, 0, 0, 0
7, 0, 2048, 0, 0, 0, 0, 0, 2049, 0, 0, 0, 0, 0, 0, 0
8, 0, 2048, 0, 0, 0, 0, 0, 2049, 0, 0, 0, 0, 0, 0, 0
9, 0, 2048, 0, 0, 0, 0, 0, 2049, 0, 0, 0, 0, 0, 0, 0
10, 0, 2048, 0, 0, 0, 0, 0, 2049, 0, 0, 0, 0, 0, 0, 0
11, 0, 2048, 0, 0, 0, 0, 0, 2049, 0, 0, 0, 0, 0, 0, 0
