S0, S1, S2, S3, S4, S5, S6, S7, S8, S9, S10, S11, S12, S13, S14
6693, 3924, 2022, 377, 38, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
6603, 4060, 1964, 372, 55, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
6652, 3971, 2018, 370, 44, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
6657, 3979, 2047, 345, 27, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
6689, 3894, 2052, 370, 49, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
6697, 3880, 2050, 381, 46, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
6707, 3872, 2051, 389, 36, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
6679, 3942, 2022, 377, 33, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0
6675, 3939, 2036, 379, 25, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
6732, 3859, 2047, 375, 42, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
6656, 3889, 2078, 394, 38, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
6662, 3932, 2072, 345, 42, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0
6656, 3906, 2083, 373, 36, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
6613, 3993, 2037, 379, 32, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
6642, 3964, 2046, 364, 37, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0
6647, 3930, 2070, 381, 27, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
6661, 3882, 2099, 381, 32, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
6576, 4046, 2018, 381, 34, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
6636, 3992, 2026, 364, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6691, 3924, 2042, 365, 32, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
6666, 3982, 2019, 343, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6664, 3970, 2032, 357, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6658, 3939, 2056, 370, 32, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
6607, 4037, 2034, 346, 31, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
6678, 3939, 2018, 390, 26, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0
6630, 4035, 2005, 350, 35, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
6639, 4062, 1953, 364, 35, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0
6680, 4021, 1939, 373, 41, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
6718, 3919, 2003, 381, 33, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
6694, 3890, 2062, 376, 32, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
6640, 4003, 2006, 375, 31, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
6647, 4018, 1980, 385, 23, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0
6707, 3925, 1985, 409, 27, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0
6691, 3959, 2008, 372, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6705, 3882, 2086, 353, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6615, 4033, 2010, 367, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6632, 3977, 2046, 374, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6578, 4090, 1966, 390, 31, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
6588, 4077, 1985, 371, 33, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
6639, 3980, 2012, 384, 39, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
6590, 4024, 2029, 380, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6644, 3952, 2083, 352, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6617, 3960, 2062, 386, 30, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
6639, 3954, 2054, 370, 37, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
6608, 3987, 2058, 362, 38, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0
6616, 4010, 2053, 348, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6619, 4015, 2054, 341, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6653, 3945, 2026, 392, 37, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0
6600, 4014, 2031, 374, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6597, 4034, 2023, 367, 32, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0
6600, 4027, 2025, 367, 36, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
6623, 4009, 2010, 385, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6543, 4062, 2054, 360, 35, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
6578, 4026, 2056, 360, 33, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0
6607, 4011, 2038, 371, 27, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
6636, 3957, 2068, 350, 44, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
6630, 3998, 2035, 364, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6674, 3912, 2074, 362, 30, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0
6592, 4013, 2022, 386, 40, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0
6655, 3938, 2030, 393, 37, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0
6653, 3960, 2038, 370, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6618, 4021, 1988, 403, 24, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
6625, 3989, 2040, 368, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6602, 3947, 2081, 387, 37, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
6575, 4022, 2048, 370, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6596, 3977, 2084, 352, 45, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
6553, 4058, 2026, 382, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6551, 4024, 2072, 362, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6656, 3900, 2092, 376, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6638, 3982, 2014, 386, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6619, 3983, 2032, 391, 29, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
6649, 3948, 2051, 368, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6599, 4069, 1981, 361, 43, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0
6615, 3966, 2066, 373, 35, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
6598, 4035, 2007, 378, 36, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
6590, 4072, 1984, 371, 38, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
6539, 4128, 2000, 349, 39, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
6530, 4169, 1963, 358, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6557, 4108, 1992, 362, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6553, 4087, 2031, 352, 32, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
6560, 4037, 2101, 318, 39, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
6566, 4106, 1992, 362, 28, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
6518, 4121, 2028, 346, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6586, 4054, 2013, 369, 33, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
6539, 4101, 2067, 314, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6548, 4054, 2049, 363, 41, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
6585, 4057, 2028, 356, 28, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
6605, 4034, 2044, 341, 30, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
6578, 4086, 2024, 335, 32, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
6580, 4046, 2038, 351, 40, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
6609, 4039, 2005, 373, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6575, 4053, 2048, 339, 40, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
6583, 4009, 2066, 361, 35, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
6628, 3951, 2084, 363, 26, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0
6600, 4039, 1986, 390, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6580, 4081, 1975, 376, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6628, 4041, 1995, 363, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6630, 4008, 2023, 357, 36, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
6626, 4031, 2005, 364, 29, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
6631, 3983, 2062, 347, 32, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
6545, 4107, 2020, 350, 32, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
6591, 4122, 1958, 345, 38, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
6574, 4097, 2014, 353, 17, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
6622, 4044, 1984, 372, 33, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
6631, 4040, 1971, 382, 30, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
6596, 4090, 1964, 364, 41, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
6613, 4035, 2009, 364, 33, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
6660, 3999, 2005, 353, 36, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0
6668, 3981, 2013, 351, 42, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
6621, 3985, 2064, 343, 38, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0
6654, 3937, 2070, 355, 39, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
6717, 3944, 2014, 347, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6663, 3991, 2006, 351, 44, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
6663, 3926, 2076, 343, 46, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
6649, 4014, 1992, 355, 45, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
6680, 3983, 1992, 362, 38, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
6633, 4069, 1956, 356, 39, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0
6682, 3977, 1987, 375, 32, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0
6663, 3983, 2015, 358, 35, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
6691, 3979, 1966, 381, 37, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
6649, 4040, 1984, 343, 38, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
6677, 3982, 2023, 335, 36, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0
6695, 3919, 2035, 372, 34, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
6609, 4049, 1993, 372, 30, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0
6632, 4037, 2015, 339, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6604, 4032, 2024, 355, 37, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0
6568, 4093, 2020, 338, 36, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
6622, 4034, 2036, 324, 37, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0
6599, 4051, 2028, 346, 31, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
6565, 4068, 2038, 349, 35, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
6614, 3972, 2073, 366, 30, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
6608, 3992, 2084, 333, 38, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
6590, 4079, 1980, 374, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6602, 4115, 1934, 365, 39, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
6533, 4160, 1957, 366, 38, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
6551, 4121, 2000, 344, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6578, 4070, 2004, 367, 36, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
6570, 4141, 1931, 375, 38, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
6589, 4048, 1995, 388, 35, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
6552, 4123, 1975, 369, 36, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
6621, 4046, 1980, 377, 31, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
6689, 3951, 2001, 379, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6611, 4094, 1930, 383, 36, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
6614, 4061, 1990, 355, 34, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
6638, 4030, 1987, 357, 43, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
6566, 4118, 1961, 379, 30, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
6630, 3979, 2039, 364, 41, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0
6658, 3942, 2049, 382, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6606, 4030, 2008, 378, 33, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
