S0, S1, S2, S3, S4, S5, S6, S7, S8, S9, S10, S11, S12, S13, S14
8442, 1256, 88, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8467, 1225, 97, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8484, 1205, 102, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8453, 1237, 99, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8420, 1278, 91, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8446, 1257, 85, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8441, 1254, 95, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8459, 1233, 99, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8488, 1219, 81, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8461, 1239, 88, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8465, 1236, 87, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8437, 1268, 84, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8451, 1240, 98, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8455, 1239, 95, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8444, 1239, 107, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8453, 1238, 99, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8445, 1255, 89, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8453, 1242, 95, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8424, 1273, 92, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8423, 1270, 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8413, 1292, 86, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8409, 1304, 77, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8406, 1311, 73, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8406, 1301, 83, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8403, 1286, 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
